record_type,id,category_id,name,description,price,image,available,sort_order
EXAMPLE,<item-slug>,<category-slug>,<OWNER APPROVED PRODUCT NAME>,<OPTIONAL DESCRIPTION>,100000,<OPTIONAL HTTPS IMAGE URL>,false,1
DATA,zakuski-myasnoe-assorti-bolshoe,zakuski,Мясное ассорти (большое),"Говядина копч., казы, язык говяжий, индейка, говяжий рулет, горчица, помидоры",110000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/z1_1780591368621.jpg,true,10
DATA,zakuski-myasnoe-assorti-maloe,zakuski,Мясное ассорти (малое),"Говядина копч., казы, язык говяжий, индейка, говяжий рулет, горчица, помидоры",90000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/z2_1780591389288.jpg,true,20
DATA,zakuski-govyazhiy-yazyk-v-slivochnom-gribnom-souse,zakuski,Говяжий язык в сливочном грибном соусе,"Говяжий язык, шампиньоны, лук, каймак",85000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/z3_1780591448788.webp,true,30
DATA,zakuski-solyonoe-assorti,zakuski,Солёное ассорти,"Огурцы бочковые, помидоры бочковые, капуста бочковая",25000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/z4_1780591463538.jpg,true,40
DATA,zakuski-ovoshchnaya-narezka,zakuski,Овощная нарезка,"Огурцы, зелень, чеснок, помидоры, перец болгар., лимон, перец стручковый острый, чакка",40000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/z5_1780591482504.jpg,true,50
DATA,zakuski-marinovannoe-assorti,zakuski,Маринованное ассорти,"Огурцы марин., помидоры марин., вещенки марин., анзур марин.",60000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/z6_1780591812809.jpg,true,60
DATA,zakuski-gribnaya-polyana,zakuski,Грибная поляна,"Вещенки марин., шампиньоны марин., лук репчатый, масло растительное",40000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/z7_1780591827824.jpg,true,70
DATA,zakuski-seledka-po-russki,zakuski,Селедка по-русски,"Селедка марин., картофель, лук репча., лимон",35000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/z8_1780591950694.jpeg,true,80
DATA,zakuski-olivki,zakuski,Оливки,Маринованные оливки,25000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/z9_1780592034544.jpeg,true,90
DATA,zakuski-suzma-chakka,zakuski,Сузма (чакка),,15000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/z10_1780592054726.jpg,true,100
DATA,zakuski-garliki,zakuski,Гарлики,"Хлеб бородинский, масло растительное, чеснок",16000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/z11_1780592199082.JPG,true,110
DATA,zakuski-garliki-s-syrom,zakuski,Гарлики с сыром,"Хлеб бородинский, масло растительное, чеснок, майонез, сыр твердый",22000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/z12_1780592101126.jpg,true,120
DATA,salaty-edem,salaty,Эдем,"Куриная грудка, индейка, сухари, сыр твердый, майонез, чеснок, зелень",45000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s1_1780592222916.jpg,true,10
DATA,salaty-zaytun,salaty,Зайтун,"Куриная грудка, айсберг, помидоры черри, брынза с зеленью, маслины и оливки без косточек",45000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s2_1780592237732.jpg,true,20
DATA,salaty-tsezar,salaty,Цезар,"Куриная грудка, сыр твердый, помидоры свежие, сухари, майонез",45000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s3_1780592248681.jpg,true,30
DATA,salaty-vesenniy,salaty,Весенний,"Капуста свежая, зелень, помидоры, огурцы",20000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s4_1780592363734.jpg,true,40
DATA,salaty-gurman-s-yazykom,salaty,Гурман с языком,"Язык говяжий, шампиньоны марин., огурцы марин., зеленый горошек, масло растительное, лимон, говядина",65000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s5_1780592333065.jpg,true,50
DATA,salaty-muzhskie-slyozy,salaty,Мужские слёзы,"Лук репч., огурцы марин., яйцо куриное, майонез, гранат, говядина",50000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s6_1780592347932.jpg,true,60
DATA,salaty-svezhiy,salaty,Свежий,"Лук репч., помидоры, огурцы, зелень",25000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s7_1780592378382.jpg,true,70
DATA,salaty-muzhskoy-kapriz,salaty,Мужской каприз,"Сыр твердый, индейка, майонез, казы, говядина",45000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s8_1780592394349.jpg,true,80
DATA,salaty-pekin,salaty,Пекин,"Зелень, чеснок, масло растительное, огурцы свеж., соевый соус, говядина",45000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s9_1780592443249.jpg,true,90
DATA,salaty-smak,salaty,Смак,"Сыр твердый, помидоры, сухари, майонез, чеснок",35000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s10_1780592471733.jpg,true,100
DATA,salaty-chirokchi,salaty,Чирокчи,"Помидоры свеж., лук репча., чакка",25000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s11_1780592546600.jpg,true,110
DATA,salaty-grecheskiy,salaty,Греческий,"Фетакса, огурцы свеж., маслины и оливки без косточек, перец болгар., лимон, помидоры свеж.",35000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s12_1780592569350.jpg,true,120
DATA,salaty-achchik-chuchuk,salaty,Аччик-чучук,"Помидоры свеж., перец болгар., перец стручковый острый, лук репч., зелень",25000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s13_1780592595099.jpg,true,130
DATA,salaty-myasnoy-salat,salaty,Мясной салат,"Курица, индейка, огурцы марин., майонез, зеленый горош., говядина",50000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s14_1780592617950.jpg,true,140
DATA,salaty-gurman,salaty,Гурман,"Майонез, куриная грудка, шампиньоны марин., огурцы марин., зеленый горошек, яйцо куриное, говядина",45000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s15_1780592632183.jpg,true,150
DATA,salaty-hrustyashchiy-baklazhany,salaty,Хрустящий Баклажаны,"Баклажан, помидоры, зелень",45000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s16_1780592642684.jpg,true,160
DATA,salaty-yaponskiy-salat,salaty,Японский салат,"Зелень, чеснок, масло растительное, огурцы свеж., соевый соус, говядина, болгарс. перец, помидоры",40000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/s17_1780592686283.jpeg,true,170
DATA,pervye-shurpa-kaynatma,pervye,Шурпа (кайнатма),"Лук репчатый, морковь, картофель, помидоры свежие, говядина",35000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/p1_1780592701217.jpg,true,10
